summary_id,cpu,lpm,deep_lpm,radio_tx,radio_rx,radio_total,total_time,total_charge_mC,total_charge_mAh,total_energy_mJ,total_current_mA
0,3302,78683,0,0,81975,81975,81985,46.274939767456054,0.01285414993540446,138.82481930236816,18.495300680612306
1,39236,779962,0,365,373,738,819198,3.1798098205566405,0.0008832805057101779,9.539429461669922,0.12719270335132654
2,40075,779125,0,362,373,735,819200,3.2236377716064455,0.000895454936557346,9.670913314819337,0.12894551086425782
3,39235,779965,0,362,372,734,819200,3.177602737426758,0.0008826674270629883,9.532808212280274,0.12710410949707032
4,40210,778990,0,361,373,734,819200,3.230415008544922,0.0008973375023735895,9.691245025634766,0.12921660034179688
5,39364,779836,0,360,372,732,819200,3.183524157714844,0.0008843122660319011,9.550572473144532,0.12734096630859376
6,40355,778845,0,360,373,733,819200,3.2377335968017578,0.0008993704435560438,9.713200790405274,0.1295093438720703
7,39211,779989,0,360,372,732,819200,3.1752414825439454,0.0008820115229288737,9.525724447631836,0.1270096593017578
